,lon,lat,temp,hpa,wet,speed,dir,mm,height,t_time,pm25,pm25_24,pm10,pm10_24,aqi,time
0,116.61666670000001,40.13333333,15.1,1009.4,13.0,1.7,26.0,0.0,28.6,528.0,9.0,41.0,41.0,133.0,92.0,0.0
1,116.28333329999998,39.98333333,17.0,1006.9,12.0,1.8,59.0,0.0,45.8,528.0,20.0,25.0,66.0,63.0,57.0,0.0
2,115.96666670000002,40.45,11.2,957.1,11.0,1.3,157.0,0.0,487.9,528.0,17.0,26.0,,,87.0,0.0
3,116.86666670000001,40.38333333,14.8,1004.9,12.0,3.3,35.0,0.0,71.8,528.0,18.0,38.0,54.0,167.0,109.0,0.0
4,116.63333329999999,40.36666667,15.7,1004.1,11.0,2.3,56.0,0.0,75.7,528.0,14.0,37.0,51.0,133.0,92.0,0.0
5,117.11666670000001,40.65,12.6,979.7,9.0,3.2,30.0,0.0,293.3,528.0,3.0,54.0,32.0,286.0,168.0,0.0
6,117.11666670000001,40.16666667,17.6,1008.8,8.0,4.3,12.0,0.0,32.1,528.0,7.0,42.0,45.0,215.0,133.0,0.0
7,116.75,39.85,13.1,1010.2,25.0,1.0,42.0,0.0,19.8,528.0,15.0,27.0,47.0,106.0,78.0,0.0
8,116.5,39.95,16.3,1008.5,14.0,1.6,62.0,0.0,35.3,528.0,42.0,40.0,52.0,88.0,70.0,0.0
9,116.21666670000002,40.21666667,17.2,1003.9,8.0,3.6,356.0,0.0,76.2,528.0,13.0,33.0,20.0,39.0,47.0,0.0
10,116.1,39.93333333,20.2,1000.2,6.0,3.9,349.0,0.0,98.0,528.0,12.0,24.0,35.0,85.0,68.0,0.0
11,116.46666670000002,39.8,15.9,1008.8,14.0,1.9,99.0,0.0,31.3,528.0,16.0,27.0,61.0,101.0,76.0,0.0
12,116.2,39.95,17.7,1004.8,12.0,1.8,64.0,0.0,63.0,528.0,10.0,21.0,56.0,101.0,76.0,0.0
13,116.25,39.86666667,19.8,1005.8,9.0,2.0,57.0,0.0,55.2,528.0,18.0,27.0,64.0,107.0,79.0,0.0
14,116.35,39.71666667,15.0,1008.2,18.0,0.8,134.0,0.0,37.5,528.0,36.0,45.0,101.0,113.0,82.0,0.0
15,116.2,39.76666667,15.9,1006.7,16.0,0.9,77.0,0.0,48.9,528.0,27.0,29.0,65.0,57.0,54.0,0.0
16,116.61666670000001,40.13333333,15.1,1010.1,11.0,2.0,22.0,0.0,28.6,529.0,12.0,40.0,47.0,128.0,90.0,1.0
17,116.28333329999998,39.98333333,15.0,1007.8,16.0,1.1,59.0,0.0,45.8,529.0,13.0,24.0,21.0,60.0,55.0,1.0
18,115.96666670000002,40.45,10.3,957.6,13.0,0.9,44.0,0.0,487.9,529.0,8.0,25.0,31.0,118.0,85.0,1.0
19,116.86666670000001,40.38333333,13.9,1005.6,12.0,2.8,43.0,0.0,71.8,529.0,12.0,37.0,41.0,158.0,105.0,1.0
20,116.63333329999999,40.36666667,14.5,1004.8,13.0,3.6,49.0,0.0,75.7,529.0,15.0,35.0,48.0,127.0,89.0,1.0
21,117.11666670000001,40.65,11.8,980.2,9.0,3.6,32.0,0.0,293.3,529.0,3.0,52.0,50.0,275.0,163.0,1.0
22,117.11666670000001,40.16666667,17.2,1009.6,7.0,2.6,20.0,0.0,32.1,529.0,9.0,40.0,59.0,203.0,127.0,1.0
23,116.75,39.85,10.0,1011.2,63.0,1.0,143.0,0.0,19.8,529.0,31.0,26.0,37.0,101.0,76.0,1.0
24,116.5,39.95,13.1,1009.4,23.0,1.0,44.0,0.0,35.3,529.0,31.0,39.0,41.0,83.0,67.0,1.0
25,116.21666670000002,40.21666667,16.4,1004.2,9.0,4.4,351.0,0.0,76.2,529.0,12.0,31.0,22.0,37.0,45.0,1.0
26,116.1,39.93333333,17.0,1001.5,11.0,1.7,96.0,0.0,98.0,529.0,9.0,23.0,71.0,82.0,67.0,1.0
27,116.46666670000002,39.8,16.3,1009.6,11.0,1.9,76.0,0.0,31.3,529.0,4.0,26.0,50.0,97.0,74.0,1.0
28,116.2,39.95,16.4,1005.7,12.0,1.9,11.0,0.0,63.0,529.0,11.0,20.0,60.0,98.0,74.0,1.0
29,116.25,39.86666667,18.8,1006.7,8.0,2.2,45.0,0.0,55.2,529.0,21.0,25.0,53.0,103.0,77.0,1.0
30,116.35,39.71666667,14.6,1008.7,16.0,2.0,90.0,0.0,37.5,529.0,35.0,45.0,88.0,111.0,81.0,1.0
31,116.2,39.76666667,14.2,1007.2,18.0,2.1,88.0,0.0,48.9,529.0,46.0,28.0,94.0,57.0,54.0,1.0
32,116.61666670000001,40.13333333,14.5,1010.4,12.0,1.8,20.0,0.0,28.6,530.0,17.0,38.0,48.0,124.0,87.0,2.0
33,116.28333329999998,39.98333333,13.0,1008.1,34.0,0.8,61.0,0.0,45.8,530.0,12.0,23.0,27.0,58.0,55.0,2.0
34,115.96666670000002,40.45,9.0,957.6,23.0,0.6,81.0,0.0,487.9,530.0,21.0,25.0,53.0,115.0,83.0,2.0
35,116.86666670000001,40.38333333,13.0,1005.7,12.0,2.2,45.0,0.0,71.8,530.0,16.0,35.0,44.0,150.0,101.0,2.0
36,116.63333329999999,40.36666667,14.4,1004.7,10.0,3.6,55.0,0.0,75.7,530.0,12.0,34.0,42.0,121.0,86.0,2.0
37,117.11666670000001,40.65,10.9,980.4,11.0,3.6,12.0,0.0,293.3,530.0,14.0,50.0,67.0,263.0,157.0,2.0
38,117.11666670000001,40.16666667,15.2,1009.9,10.0,1.2,334.0,0.0,32.1,530.0,9.0,38.0,47.0,192.0,122.0,2.0
39,116.75,39.85,8.8,1011.3,62.0,1.6,43.0,0.0,19.8,530.0,4.0,23.0,41.0,97.0,74.0,2.0
40,116.5,39.95,11.4,1009.7,26.0,1.4,36.0,0.0,35.3,530.0,25.0,38.0,28.0,78.0,65.0,2.0
41,116.21666670000002,40.21666667,15.3,1004.7,9.0,2.1,40.0,0.0,76.2,530.0,10.0,30.0,21.0,36.0,43.0,2.0
42,116.1,39.93333333,13.4,1001.6,25.0,0.9,145.0,0.0,98.0,530.0,30.0,23.0,83.0,80.0,66.0,2.0
43,116.46666670000002,39.8,14.9,1009.7,14.0,2.0,42.0,0.0,31.3,530.0,10.0,25.0,43.0,92.0,71.0,2.0
44,116.2,39.95,15.3,1006.0,14.0,2.4,36.0,0.0,63.0,530.0,8.0,19.0,57.0,95.0,73.0,2.0
45,116.25,39.86666667,17.7,1006.8,10.0,3.4,70.0,0.0,55.2,530.0,13.0,25.0,60.0,101.0,76.0,2.0
46,116.35,39.71666667,15.6,1008.7,12.0,2.1,53.0,0.0,37.5,530.0,26.0,44.0,56.0,108.0,80.0,2.0
47,116.2,39.76666667,13.9,1007.5,15.0,2.3,82.0,0.0,48.9,530.0,44.0,28.0,91.0,58.0,54.0,2.0
48,116.61666670000001,40.13333333,13.7,1010.6,12.0,2.1,19.0,0.0,28.6,531.0,13.0,37.0,50.0,119.0,85.0,3.0
49,116.28333329999998,39.98333333,12.2,1008.2,31.0,2.0,52.0,0.0,45.8,531.0,9.0,22.0,21.0,56.0,54.0,3.0
50,115.96666670000002,40.45,8.8,957.4,14.0,1.8,129.0,0.0,487.9,531.0,37.0,25.0,65.0,111.0,81.0,3.0
51,116.86666670000001,40.38333333,12.3,1005.9,15.0,1.9,45.0,0.0,71.8,531.0,6.0,32.0,44.0,138.0,95.0,3.0
52,116.63333329999999,40.36666667,13.3,1005.0,11.0,1.8,65.0,0.0,75.7,531.0,13.0,31.0,34.0,111.0,81.0,3.0
53,117.11666670000001,40.65,8.7,980.1,16.0,3.2,31.0,0.0,293.3,531.0,4.0,46.0,44.0,245.0,148.0,3.0
54,117.11666670000001,40.16666667,11.8,1010.3,18.0,1.0,30.0,0.0,32.1,531.0,11.0,35.0,52.0,180.0,115.0,3.0
55,116.75,39.85,11.6,1011.3,20.0,1.9,23.0,0.0,19.8,531.0,13.0,23.0,61.0,95.0,73.0,3.0
56,116.5,39.95,13.2,1009.7,16.0,2.1,36.0,0.0,35.3,531.0,26.0,37.0,33.0,74.0,63.0,3.0
57,116.21666670000002,40.21666667,14.6,1005.0,10.0,1.3,25.0,0.0,76.2,531.0,11.0,29.0,20.0,34.0,41.0,3.0
58,116.1,39.93333333,12.9,1001.8,19.0,0.8,188.0,0.0,98.0,531.0,9.0,22.0,47.0,78.0,65.0,3.0
59,116.46666670000002,39.8,13.2,1009.8,17.0,1.4,66.0,0.0,31.3,531.0,7.0,24.0,51.0,88.0,70.0,3.0
60,116.2,39.95,13.8,1006.1,16.0,2.5,15.0,0.0,63.0,531.0,15.0,18.0,83.0,93.0,72.0,3.0
61,116.25,39.86666667,16.5,1006.9,10.0,2.8,65.0,0.0,55.2,531.0,11.0,24.0,54.0,97.0,74.0,3.0
62,116.35,39.71666667,14.8,1008.7,12.0,2.3,47.0,0.0,37.5,531.0,18.0,43.0,32.0,104.0,77.0,3.0
63,116.2,39.76666667,14.2,1007.5,13.0,3.0,69.0,0.0,48.9,531.0,29.0,28.0,35.0,56.0,53.0,3.0
64,116.61666670000001,40.13333333,12.8,1010.8,13.0,1.9,27.0,0.0,28.6,532.0,10.0,34.0,47.0,112.0,82.0,4.0
65,116.28333329999998,39.98333333,11.2,1008.6,27.0,0.7,48.0,0.0,45.8,532.0,9.0,21.0,27.0,55.0,53.0,4.0
66,115.96666670000002,40.45,7.8,957.7,21.0,0.7,114.0,0.0,487.9,532.0,18.0,23.0,,,79.0,4.0
67,116.86666670000001,40.38333333,12.4,1006.2,14.0,2.8,36.0,0.0,71.8,532.0,21.0,28.0,32.0,122.0,86.0,4.0
68,116.63333329999999,40.36666667,12.5,1005.3,12.0,2.8,66.0,0.0,75.7,532.0,10.0,28.0,38.0,98.0,75.0,4.0
69,117.11666670000001,40.65,7.7,980.3,17.0,1.8,41.0,0.0,293.3,532.0,20.0,42.0,22.0,225.0,138.0,4.0
70,117.11666670000001,40.16666667,9.1,1010.6,26.0,0.5,57.0,0.0,32.1,532.0,15.0,32.0,47.0,165.0,108.0,4.0
71,116.75,39.85,11.9,1011.4,18.0,1.7,355.0,0.0,19.8,532.0,15.0,22.0,33.0,91.0,71.0,4.0
72,116.5,39.95,12.3,1010.0,16.0,1.3,25.0,0.0,35.3,532.0,17.0,36.0,41.0,71.0,61.0,4.0
73,116.21666670000002,40.21666667,13.7,1005.3,11.0,2.6,61.0,0.0,76.2,532.0,7.0,26.0,25.0,34.0,38.0,4.0
74,116.1,39.93333333,10.8,1002.3,25.0,0.8,253.0,0.0,98.0,532.0,25.0,22.0,78.0,77.0,64.0,4.0
75,116.46666670000002,39.8,12.0,1010.1,18.0,1.6,48.0,0.0,31.3,532.0,9.0,24.0,55.0,86.0,68.0,4.0
76,116.2,39.95,13.2,1006.5,15.0,2.5,16.0,0.0,63.0,532.0,14.0,18.0,66.0,90.0,71.0,4.0
77,116.25,39.86666667,16.0,1007.3,10.0,2.9,54.0,0.0,55.2,532.0,12.0,23.0,57.0,93.0,72.0,4.0
78,116.35,39.71666667,13.3,1009.3,14.0,1.4,56.0,0.0,37.5,532.0,22.0,42.0,68.0,102.0,77.0,4.0
79,116.2,39.76666667,14.3,1008.1,11.0,2.1,61.0,0.0,48.9,532.0,20.0,28.0,33.0,54.0,52.0,4.0
80,116.61666670000001,40.13333333,12.1,1011.3,14.0,1.5,3.0,0.0,28.6,533.0,14.0,32.0,38.0,105.0,78.0,5.0
81,116.28333329999998,39.98333333,10.6,1009.2,23.0,1.5,42.0,0.0,45.8,533.0,18.0,20.0,28.0,53.0,52.0,5.0
82,115.96666670000002,40.45,6.9,957.9,19.0,1.0,149.0,0.0,487.9,533.0,5.0,21.0,44.0,100.0,75.0,5.0
83,116.86666670000001,40.38333333,7.9,1006.5,28.0,0.3,122.0,0.0,71.8,533.0,16.0,28.0,32.0,107.0,79.0,5.0
84,116.63333329999999,40.36666667,10.4,1005.7,20.0,1.5,107.0,0.0,75.7,533.0,14.0,25.0,32.0,85.0,68.0,5.0
85,117.11666670000001,40.65,7.6,980.4,17.0,2.1,36.0,0.0,293.3,533.0,16.0,39.0,87.0,210.0,131.0,5.0
86,117.11666670000001,40.16666667,7.2,1010.9,34.0,0.4,150.0,0.0,32.1,533.0,17.0,29.0,52.0,150.0,100.0,5.0
87,116.75,39.85,9.3,1011.9,36.0,1.4,17.0,0.0,19.8,533.0,10.0,20.0,45.0,88.0,70.0,5.0
88,116.5,39.95,10.2,1010.6,27.0,0.9,8.0,0.0,35.3,533.0,25.0,35.0,31.0,69.0,60.0,5.0
89,116.21666670000002,40.21666667,13.4,1005.7,11.0,3.5,55.0,0.0,76.2,533.0,17.0,25.0,27.0,33.0,36.0,5.0
90,116.1,39.93333333,10.2,1002.8,25.0,0.0,0.0,0.0,98.0,533.0,13.0,20.0,58.0,75.0,63.0,5.0
91,116.46666670000002,39.8,12.7,1010.5,15.0,2.0,35.0,0.0,31.3,533.0,15.0,23.0,55.0,82.0,67.0,5.0
92,116.2,39.95,12.1,1007.0,16.0,2.0,19.0,0.0,63.0,533.0,12.0,17.0,67.0,88.0,70.0,5.0
93,116.25,39.86666667,15.4,1007.8,10.0,2.6,60.0,0.0,55.2,533.0,13.0,22.0,71.0,92.0,71.0,5.0
94,116.35,39.71666667,12.5,1009.5,15.0,1.9,40.0,0.0,37.5,533.0,31.0,41.0,58.0,99.0,75.0,5.0
95,116.2,39.76666667,13.5,1008.4,11.0,2.7,55.0,0.0,48.9,533.0,24.0,28.0,36.0,53.0,52.0,5.0
96,116.61666670000001,40.13333333,10.4,1011.8,20.0,0.7,341.0,0.0,28.6,534.0,11.0,29.0,46.0,97.0,74.0,6.0
97,116.28333329999998,39.98333333,9.6,1009.6,24.0,0.1,0.0,0.0,45.8,534.0,18.0,20.0,34.0,52.0,52.0,6.0
98,115.96666670000002,40.45,6.2,958.4,29.0,0.7,113.0,0.0,487.9,534.0,25.0,21.0,47.0,94.0,73.0,6.0
99,116.86666670000001,40.38333333,6.0,1007.0,33.0,0.4,44.0,0.0,71.8,534.0,10.0,25.0,62.0,98.0,74.0,6.0
100,116.63333329999999,40.36666667,9.5,1006.2,24.0,2.1,26.0,0.0,75.7,534.0,13.0,22.0,47.0,75.0,63.0,6.0
101,117.11666670000001,40.65,5.2,980.9,24.0,2.8,44.0,0.0,293.3,534.0,4.0,36.0,24.0,195.0,123.0,6.0
102,117.11666670000001,40.16666667,7.2,1011.4,41.0,0.7,97.0,0.0,32.1,534.0,36.0,27.0,78.0,138.0,94.0,6.0
103,116.75,39.85,8.1,1012.5,56.0,1.4,354.0,0.0,19.8,534.0,8.0,19.0,86.0,88.0,70.0,6.0
104,116.5,39.95,9.3,1011.1,32.0,0.6,47.0,0.0,35.3,534.0,11.0,34.0,37.0,67.0,59.0,6.0
105,116.21666670000002,40.21666667,13.5,1006.2,11.0,1.6,360.0,0.0,76.2,534.0,11.0,24.0,22.0,32.0,34.0,6.0
106,116.1,39.93333333,9.9,1003.3,30.0,0.0,0.0,0.0,98.0,534.0,20.0,20.0,65.0,74.0,63.0,6.0
107,116.46666670000002,39.8,12.9,1011.2,15.0,1.6,46.0,0.0,31.3,534.0,9.0,21.0,50.0,81.0,66.0,6.0
108,116.2,39.95,12.0,1007.5,17.0,1.7,19.0,0.0,63.0,534.0,13.0,17.0,71.0,87.0,69.0,6.0
109,116.25,39.86666667,14.9,1008.5,11.0,3.2,56.0,0.0,55.2,534.0,14.0,20.0,67.0,88.0,69.0,6.0
110,116.35,39.71666667,13.5,1010.3,13.0,1.5,49.0,0.0,37.5,534.0,32.0,41.0,76.0,100.0,75.0,6.0
111,116.2,39.76666667,13.1,1009.2,12.0,1.6,52.0,0.0,48.9,534.0,17.0,27.0,42.0,52.0,52.0,6.0
112,116.61666670000001,40.13333333,12.9,1012.5,21.0,1.0,3.0,0.0,28.6,535.0,13.0,26.0,47.0,88.0,70.0,7.0
113,116.28333329999998,39.98333333,11.8,1010.2,26.0,0.8,99.0,0.0,45.8,535.0,15.0,20.0,52.0,51.0,51.0,7.0
114,115.96666670000002,40.45,8.3,959.1,22.0,0.7,174.0,0.0,487.9,535.0,25.0,21.0,70.0,91.0,71.0,7.0
115,116.86666670000001,40.38333333,11.3,1007.5,31.0,1.0,85.0,0.0,71.8,535.0,19.0,22.0,80.0,91.0,71.0,7.0
116,116.63333329999999,40.36666667,12.6,1006.7,16.0,2.1,50.0,0.0,75.7,535.0,16.0,20.0,51.0,66.0,59.0,7.0
117,117.11666670000001,40.65,7.6,981.4,22.0,3.2,60.0,0.0,293.3,535.0,4.0,29.0,56.0,162.0,107.0,7.0
118,117.11666670000001,40.16666667,10.5,1012.0,30.0,0.3,312.0,0.0,32.1,535.0,32.0,25.0,53.0,127.0,89.0,7.0
119,116.75,39.85,11.9,1013.2,35.0,0.9,358.0,0.0,19.8,535.0,19.0,19.0,61.0,86.0,69.0,7.0
120,116.5,39.95,12.8,1011.8,20.0,1.5,56.0,0.0,35.3,535.0,24.0,34.0,56.0,66.0,58.0,7.0
121,116.21666670000002,40.21666667,14.7,1006.7,11.0,2.4,34.0,0.0,76.2,535.0,11.0,23.0,28.0,32.0,34.0,7.0
122,116.1,39.93333333,12.4,1003.9,21.0,0.6,85.0,0.0,98.0,535.0,9.0,20.0,123.0,76.0,64.0,7.0
123,116.46666670000002,39.8,14.4,1011.9,15.0,1.5,38.0,0.0,31.3,535.0,7.0,17.0,51.0,78.0,65.0,7.0
124,116.2,39.95,13.6,1008.1,19.0,1.5,47.0,0.0,63.0,535.0,16.0,17.0,81.0,86.0,69.0,7.0
125,116.25,39.86666667,15.5,1009.2,12.0,3.1,66.0,0.0,55.2,535.0,16.0,19.0,81.0,87.0,69.0,7.0
126,116.35,39.71666667,14.8,1011.1,13.0,2.2,57.0,0.0,37.5,535.0,25.0,40.0,103.0,100.0,75.0,7.0
127,116.2,39.76666667,14.6,1009.9,14.0,2.2,70.0,0.0,48.9,535.0,19.0,27.0,48.0,52.0,51.0,7.0
