Longitude,Latitude,Elevation,ppt,tmean,d2h,timestamp
-77.8449194,34.27935,11,0.03,14.8,-64.63728158,24
-123.26083,44.5647222,77,9.69,15.5,-39.4,24
-124.053,44.637,23,48.85,13.7,-27.7,24
-81.433561,37.940564,577,15.76,4.7,-132.7786241,24
-77.03426667,39.01322778,95,26.18,11.9,-107.0914718,24
-76.624285,39.337301,74,21.52,12.2,-81.62282448,24
-68.8349,44.734433,36,0.42,9.6,-28.85589885,24
-76.431275,38.33573611,8,74.88,12.7,-107.8416695,24
-78.985951,39.666469,774,10.93,6.5,-128.6445153,24
-81.031427,41.835243,181,24.71,6.8,-78.37419519,24
-72.3165,41.891,191,1.64,11.3,-22.21984773,24
-77.4708,38.3018,36,12.74,13.1,-102.892371,24
-76.7099,38.374,30,40.29,12.2,-104.737427,24
-77.5341,38.4178,97,12.78,12.7,-74.97534521,24
-78.853,38.45,424,5.17,9.4,-113.2678345,24
-77.40293333,38.7142833,66,15.37,12.4,-80.57556906,24
-75.246842,38.772392,5,90.25,13.7,-68.78642768,24
-77.0524,38.8518,20,26.69,13.3,-77.25163966,24
-76.9841,38.9329,33,43.77,12.7,-116.8626586,24
-77.11794722,38.93362745,72,23.64,12.2,-115.7992552,24
-77.0542,39.047101,113,27.47,11.8,-74.92876878,24
-79.958045,39.621505,304,8.86,6.7,-119.5142824,24
-79.956254,39.635773,310,9.12,6.7,-120.3926115,24
-78.922546,39.654468,618,10.34,7.5,-131.7198881,24
-78.714959,39.707359,293,9.92,9.7,-113.3550868,24
-75.217338,39.950691,25,15.19,13.5,-45.16179462,24
-82.87657222,40.05619444,263,20.68,5.6,-110.9994375,24
-74.7258,40.2695,26,4.39,13.1,-36.95338121,24
-75.3867,40.2794,88,8.15,12.1,-46.92412205,24
-76.7214,40.3113,141,5.98,11.9,-63.93627017,24
-77.1685,40.4512,196,9.92,10.7,-60.2814932,24
-75.54,40.5111,194,6.5,12.2,-49.39431966,24
-77.907588,40.791143,399,7.23,7.8,-84.32810666,24
-77.8833,40.815,363,7.12,7.9,-68.28593709,24
-81.3537,41.1558,326,31.03,5.3,-99.6751824,24
-70.8683,41.523305,0,2.19,13.8,-34.10616556,24
-71.39194,41.824149,16,4.83,12.7,-29.64276995,24
-72.334,42.162155,138,1.46,11.3,-38.12817075,24
-71.5459,42.2718,104,7.26,11.2,-33.24803196,24
-71.8381,42.3008,222,5.63,10.1,-23.25245637,24
-75.1054,39.7646,26,28.61,12.6,-46.06457268,24
-74.6558,40.355522,45,4.43,12.7,-44.45455798,24
-74.4304,40.503,22,2.76,13.4,-51.9805396,24
-70.63606,41.592674,11,2.78,13.4,-43.2967049,24
-76.3911111,43.3255556,124,1.44,7.9,-49.00551536,24
-78.9251,36.0412,120,6.17,12,-120.8732679,24
-77.8795,39.2647,160,18.45,11.1,-103.723734,24
-78.5437,39.2821,324,11.88,10.2,-112.0779082,24
-78.790719,39.649086,277,8.81,9.8,-118.5700339,24
-77.879957,40.795605,359,7.34,8.1,-85.05547502,24
-71.085105,42.369275,6,5.07,12.1,-33.00527367,24
-77.00522,38.91,34,45.69,12.8,-115.5973135,24
-75.208196,39.950279,23,14.86,13.5,-67.30064793,24
-72.30059722,43.64136667,198,0,12.3,-38.16082936,24
-75.045105,40.061317,35,7.92,13.1,-134.5458047,24
-123.644,39.729,624,0,14.8,-42.53360977,24
-75.917974,42.098687,319,1.45,9.2,-34.57115501,24
-71.35,43.82,245,0.97,10.2,-37.00229717,24
-77.01,39.98,153,12.31,11.4,-107.4968845,24
-75.5457,39.9891,132,19.99,11.6,-47.82213857,24
-77.6142,38.7956,103,15.75,12.3,-87.71291972,24
-77.12954,38.872151,83,23.08,12.3,-115.7187375,24
-77.27994,39.173394,129,19.31,11.4,-115.559135,24
-75.603706,39.264198,10,56.13,12.7,-60.87066951,24
-75.294384,39.969692,69,13.59,13,-46.72109403,24
-75.3867,40.1216,54,11,12.6,-45.20903037,24
-74.8373,40.6415,132,1.02,12.2,-27.55455368,24
-77.888617,40.823754,361,7.04,7.9,-85.40910514,24
-70.63,41.65,7,1.39,13.1,-50.50349593,24
-71.69740833,41.730175,160,3.31,11.8,-17.04962502,24
-72.4921,41.8001,107,0.44,11.8,-40.06186406,24
-71.1503,42.3374,40,7.11,11.7,-43.53511513,24
-76.4969,42.4406,223,3.26,7.7,-48.25194243,24
-75.54704,42.80451,403,0,9.6,-32.3346636,24
-75.727069,42.894861,493,0,7.9,-54.67848688,24
-76.073542,42.975959,271,0.51,7.6,-35.99813808,24
-71.9401,43.0414,250,1.83,9.2,-34.31866409,24
-76.2289,43.1482,119,0.92,8.1,-45.72103237,24
-73.19485,44.06983,100,0,12.5,-30.70405213,24
-71.596,44.496,284,0,11.2,-24.96843779,24
-73.8748,42.6727,59,0,13.5,-36.7185791,24
-75.1642,39.9522,13,14.68,13.6,-40.15890504,24
-77.5739814,39.7635,225,21.33,11,-83.19310148,24
-81.687,38.2771,307,21.09,5.2,-107.222962,24
-77.07720983,41.80876656,433,4.29,7.1,-45.08328054,24
-76.873292,42.38068441,214,4.14,8.2,-72.41898336,24
-77.0372,39.0414,117,27.73,11.8,-109.5299498,24
-78.4636111,39.2427778,314,11.57,10.3,-149.5466475,24
-78.13583333,38.96055,171,14.01,11.2,-150.9224742,24
-73.78,43.07,90,0,13.5,-53.35882719,24
-72.30059722,43.64136667,198,29.15,14.4,-42.88877996,48
-76.624285,39.337301,74,137.79,8.3,-128.0095267,48
-81.433561,37.940564,577,39.6,0.6,-135.3406572,48
-76.3911111,43.3255556,124,5.39,11.3,-61.30064772,48
-81.3462528,37.9734806,637,38.48,0.2,-123.8488278,48
-71.35,43.82,245,89.51,12.2,-35.68823732,48
-68.8349,44.734433,36,20.08,13.8,-32.24508264,48
-75.852692,42.930067,400,10.76,10.5,-67.11905662,48
-76.2289,43.1482,119,11.43,11.6,-41.56631814,48
-77.14377222,43.23867778,124,17.61,11,-59.76390437,48
-72.334,42.162155,138,29.36,14.3,-47.50325948,48
-75.208196,39.950279,23,51.29,12.2,-103.8149727,48
-77.01,39.98,153,110.75,7.8,-120.6535698,48
-75.5457,39.9891,132,121.42,10.2,-111.3527002,48
-78.9251,36.0412,120,7.64,6.8,-155.9853354,48
-77.4708,38.3018,36,96.54,8,-141.5478298,48
-76.431275,38.33573611,8,102.95,8.2,-147.4647439,48
-76.7099,38.374,30,125.28,7.6,-142.2695616,48
-77.5341,38.4178,97,94.43,7.6,-90.3001844,48
-78.853,38.45,424,27.69,5,-146.4236756,48
-77.40293333,38.7142833,66,120.02,7.7,-92.51109586,48
-75.246842,38.772392,5,167.25,9.7,-101.0171943,48
-77.6142,38.7956,103,106.85,7.6,-97.50127901,48
-77.12954,38.872151,83,118.75,8.4,-127.8729375,48
-77.11794722,38.93362745,72,116.77,8.7,-111.1258042,48
-77.03426667,39.01322778,95,119.45,8.1,-130.9788198,48
-84.5257,39.142,195,2.12,4.9,-92.81970655,48
-77.27994,39.173394,129,134.41,7.7,-120.2428083,48
-78.5437,39.2821,324,75.26,4.9,-132.9323156,48
-78.790719,39.649086,277,73.52,4.7,-142.1240323,48
-78.922546,39.654468,618,68.99,2.2,-162.6115401,48
-78.985951,39.666469,774,85.97,1.6,-154.0226116,48
-78.714959,39.707359,293,71.53,4.9,-135.2166681,48
-75.217338,39.950691,25,52.49,12.2,-69.48965381,48
-75.294384,39.969692,69,68.65,11.5,-79.26640935,48
-75.045105,40.061317,35,45.98,12.1,-130.3118045,48
-85.410859,40.19928,286,1.6,4.5,-52.89469887,48
-74.7258,40.2695,26,48.01,12.4,-108.6271861,48
-75.3867,40.2794,88,54.78,11.2,-100.1843106,48
-76.7214,40.3113,141,68.1,9,-110.2356858,48
-77.1685,40.4512,196,80.95,8.6,-91.59102783,48
-75.54,40.5111,194,66.86,10.5,-86.68121356,48
-80.1878,40.5173,306,53.51,5,-125.7692908,48
-74.8373,40.6415,132,39.67,11.6,-105.7589954,48
-77.879957,40.795605,359,79.61,8.4,-120.5916823,48
-81.3537,41.1558,326,31.38,5.1,-85.33953627,48
-70.8683,41.523305,0,17.4,15.4,-49.19143513,48
-70.63606,41.592674,11,18.82,14.9,-44.36652485,48
-70.63,41.65,7,32.5,15.3,-43.53796142,48
-71.69740833,41.730175,160,30.33,14.9,-37.22195299,48
-77.22386944,41.75965278,518,52.84,9.1,-81.11015369,48
-72.4921,41.8001,107,29.63,15.1,-57.04107476,48
-77.07720983,41.80876656,433,50.26,9.7,-133.9637844,48
-71.39194,41.824149,16,34.4,15.9,-46.7617862,48
-72.3165,41.891,191,23.92,14.5,-47.16068583,48
-75.917974,42.098687,319,16.77,11.1,-111.9210235,48
-71.5459,42.2718,104,56.42,14,-51.53534859,48
-71.8381,42.3008,222,45.92,13.7,-48.94242045,48
-71.1503,42.3374,40,47.06,14.7,-22.75684795,48
-76.4969,42.4406,223,23.79,10.7,-89.0322171,48
-75.54704,42.80451,403,7.19,11.2,-39.79524856,48
-75.727069,42.894861,493,9.25,10.2,-94.25968422,48
-76.073542,42.975959,271,15.12,11,-63.50318074,48
-76,43,199,14.7,11.5,-62.75390358,48
-71.9401,43.0414,250,56.75,12.5,-44.89717844,48
-73.78,43.07,90,5.75,14,-68.65091295,48
-73.19485,44.06983,100,12.47,13.9,-45.45337734,48
-69.859,44.3768,121,26.95,13,-39.95454105,48
-71.596,44.496,284,17.08,13.2,-22.77101055,48
-72.372265,44.679731,342,6.91,12.6,-41.6958134,48
-72.9045,44.3998,353,18.1,12.6,-49.57152952,48
-75.1054,39.7646,26,88.49,11.4,-71.57142793,48
-77.0524,38.8518,20,116.12,8.9,-87.46643892,48
-73.0683333,43.1797222,357,57.11,13,-45.61314856,48
-76.9841,38.9329,33,125.14,8.7,-125.4749172,48
-77.8833,40.815,363,72.48,8.2,-81.28625601,48
-77.0542,39.047101,113,119.08,8.1,-90.67667741,48
-78.4636111,39.2427778,314,91.45,5,-139.0860185,48
-77.907588,40.791143,399,71.26,8.1,-113.0756707,48
-77.07832383,41.74410783,420,51.61,9.6,-156.2501448,48
-71.085105,42.369275,6,36.32,14.9,-43.27822793,48
-82.4339,36.1253,628,12.91,2,-116.6998468,48
-77.5739814,39.7635,225,96.81,7.1,-77.39930374,48
-75.3867,40.1216,54,73.64,11.3,-79.95555811,48
-82.87657222,40.05619444,263,4.63,2.9,-99.82139489,48
-84.21,38.3907,264,4.68,4.6,-79.78542274,48
-77.00522,38.91,34,123.54,8.8,-117.7856893,48
-77.0372,39.0414,117,118.78,8.1,-111.4377599,48
-74.4304,40.503,22,39.57,13.2,-79.62336519,48
-76.873292,42.38068441,214,47.17,10.9,-72.00913634,48
-74.6558,40.355522,45,50.03,12.2,-78.23654604,48
-77.8795,39.2647,160,91.47,6.5,-125.6231879,48
-81.687,38.2771,307,43.82,1.4,-95.53794134,48
-76.93894183,41.99143,464,48.69,10,-74.35524643,48
-75.1642,39.9522,13,47.07,12.3,-108.3886367,48
-79.958045,39.621505,304,67.59,3.2,-144.8536141,48
-84.295478,38.382171,232,4.34,4.7,-63.68215704,48
-77.388623,38.978577,103,127.7,7.8,-122.444684,48
-81.031427,41.835243,181,58.31,7.7,-70.9426882,48
-75.8065,37.53066667,6,75.19,9.9,-84.77487957,48
-73.8748,42.6727,59,6.88,14.6,-60.7279398,48
-75.703649,35.9314122,1,22.43,9.9,-39.05455488,48
-81.608103,38.320485,259,42.81,1.8,-88.80510361,48
-79.956254,39.635773,310,68.14,3.2,-145.5309512,48
-79.96734,39.645632,315,68.33,3.3,-127.047953,48
-83.22,42.44903056,203,4.12,4.3,-80.38607622,48
-86.062617,39.981078,237,0,5.7,-64.91479022,48
-73.907408,40.885876,26,17.96,14.6,-33.57491883,48
-78.13583333,38.96055,171,89.67,6.1,-135.4996219,48
-81.433561,37.940564,577,22.58,0.3,-119.8619643,72
-77.0524,38.8518,20,40.86,5.8,-86.18894392,72
-72.9045,44.3998,353,19.16,13.5,-46.98130828,72
-77.5739814,39.7635,225,10.23,5.3,-91.90559482,72
-76.3911111,43.3255556,124,10.45,10.1,-106.9659371,72
-81.3462528,37.9734806,637,21.55,0,-110.7449907,72
-86.062617,39.981078,237,8.97,5,-61.89072534,72
-71.5459,42.2718,104,20.39,14.8,-43.81173159,72
-75.852692,42.930067,400,7.38,8.4,-110.0369961,72
-77.14377222,43.23867778,124,3.69,9.4,-91.60928319,72
-71.35,43.82,245,15.75,13.7,-31.51118247,72
-68.8349,44.734433,36,19.5,16.6,-26.94412361,72
-77.1685,40.4512,196,5.92,4.4,-89.01737946,72
-80.1878,40.5173,306,18.6,5.9,-119.3937349,72
-77.8833,40.815,363,5.79,3.8,-91.69175905,72
-75.1054,39.7646,26,3.37,6.9,-90.44032686,72
-75.5457,39.9891,132,9.93,5.8,-145.9770289,72
-72.3165,41.891,191,5.46,12.7,-43.54569204,72
-81.608103,38.320485,259,28.85,1.8,-69.75236892,72
-84.21,38.3907,264,8.39,3.6,-60.02960972,72
-77.40293333,38.7142833,66,7.66,4.5,-88.3715079,72
-77.6142,38.7956,103,6.25,4.5,-82.30026117,72
-77.03426667,39.01322778,95,8.51,4.6,-132.8731894,72
-77.0542,39.047101,113,6.84,4.4,-87.85821659,72
-84.5257,39.142,195,8.38,4.3,-63.53930838,72
-77.27994,39.173394,129,8.84,4.5,-118.4837168,72
-75.603706,39.264198,10,7.39,6.8,-97.71191701,72
-79.958045,39.621505,304,30.7,1.6,-108.3323486,72
-79.956254,39.635773,310,30.28,1.6,-116.8736886,72
-78.922546,39.654468,618,7.27,0.4,-167.1770381,72
-75.294384,39.969692,69,28.22,7.2,-53.72470265,72
-75.045105,40.061317,35,1.17,7.5,-104.572507,72
-75.3867,40.1216,54,9.68,6.8,-92.34311363,72
-85.410859,40.19928,286,10.77,3.8,-62.53400883,72
-75.3867,40.2794,88,7.43,6.4,-138.0823058,72
-76.7214,40.3113,141,6.52,5.1,-129.4723687,72
-77.907588,40.791143,399,5.74,3.7,-134.9709109,72
-81.3537,41.1558,326,27.11,5.8,-74.99693907,72
-70.8683,41.523305,0,22.84,15.3,-28.03539542,72
-70.63606,41.592674,11,15.31,15.2,-37.14002911,72
-71.69740833,41.730175,160,4.51,14.3,-39.23799204,72
-71.39194,41.824149,16,24.97,15.5,-45.13355425,72
-81.031427,41.835243,181,19.93,8.7,-84.91999719,72
-75.917974,42.098687,319,6.8,7,-140.8295597,72
-71.8381,42.3008,222,8.83,14.1,-40.07396213,72
-76,43,199,5.64,9.7,-100.9926841,72
-73.78,43.07,90,3.4,12.6,-101.3527255,72
-76.2289,43.1482,119,6.16,10.1,-40.93139625,72
-72.30059722,43.64136667,198,26.53,15,-45.26980182,72
-73.19485,44.06983,100,5.31,15.4,-42.52842366,72
-69.859,44.3768,121,23.9,15.5,-34.67286429,72
-71.596,44.496,284,9.32,14.7,-32.37933379,72
-72.372265,44.679731,342,23.32,13.1,-34.79087939,72
-72.334,42.162155,138,3.68,13.5,-45.91170028,72
-74.8373,40.6415,132,5.93,6.7,-86.50682503,72
-73.0683333,43.1797222,357,4.41,12.5,-57.9040433,72
-78.4636111,39.2427778,314,6.72,3,-150.8181298,72
-77.879957,40.795605,359,5.65,4,-135.9161984,72
-82.87657222,40.05619444,263,4.13,2.8,-80.5820382,72
-82.4339,36.1253,628,5.43,1.7,-66.79909907,72
-77.8795,39.2647,160,8.94,4.1,-145.7521312,72
-78.985951,39.666469,774,7.1,-0.3,-141.8511124,72
-75.1642,39.9522,13,5.17,7.9,-124.398846,72
-72.4921,41.8001,107,2.7,13,-70.7689579,72
-71.085105,42.369275,6,14.68,15.2,-37.76812517,72
-78.714959,39.707359,293,6.05,3,-170.6812503,72
-79.96734,39.645632,315,29.28,1.7,-103.6780187,72
-75.54704,42.80451,403,7.21,8.4,-124.5950365,72
-75.727069,42.894861,493,9.31,7.9,-128.0518139,72
-71.9401,43.0414,250,19.93,13.7,-45.9750659,72
-77.35,38.95,111,6.55,4.2,-42.19800432,72
-83.22,42.44903056,203,1.81,4.8,-64.5386959,72
-77.07720983,41.80876656,433,2.48,5.5,-102.810792,72
